newspaper,date,edition,page_number,scale,year
publimetro,2018-05-04,default,15,NA,2018
publimetro,2018-05-04,default,4,NA,2018
publimetro,2018-05-04,default,8,NA,2018
publimetro,2018-05-04,default,12,NA,2018
publimetro,2018-05-04,default,2,NA,2018
publimetro,2018-05-04,default,9,NA,2018
publimetro,2018-05-04,default,7,NA,2018
publimetro,2018-05-04,default,6,NA,2018
publimetro,2018-05-04,default,14,NA,2018
publimetro,2018-05-04,default,5,NA,2018
publimetro,2018-05-04,default,1,NA,2018
publimetro,2018-05-04,default,10,NA,2018
publimetro,2018-05-04,default,3,NA,2018
publimetro,2018-05-04,default,11,NA,2018
publimetro,2018-05-04,default,16,NA,2018
publimetro,2018-05-07,default,10,NA,2018
publimetro,2018-05-07,default,11,NA,2018
publimetro,2018-05-07,default,15,NA,2018
publimetro,2018-05-07,default,3,NA,2018
publimetro,2018-05-07,default,5,NA,2018
publimetro,2018-05-07,default,12,NA,2018
publimetro,2018-05-07,default,8,NA,2018
publimetro,2018-05-07,default,7,NA,2018
publimetro,2018-05-07,default,4,NA,2018
publimetro,2018-05-07,default,16,NA,2018
publimetro,2018-05-07,default,1,NA,2018
publimetro,2018-05-07,default,2,NA,2018
publimetro,2018-05-07,default,13,NA,2018
publimetro,2018-05-07,default,14,NA,2018
publimetro,2018-05-07,default,9,NA,2018
publimetro,2018-05-07,default,6,NA,2018
publimetro,2018-05-23,default,8,NA,2018
publimetro,2018-05-23,default,13,NA,2018
publimetro,2018-05-23,default,3,NA,2018
publimetro,2018-05-23,default,14,NA,2018
publimetro,2018-05-23,default,15,NA,2018
publimetro,2018-05-23,default,16,NA,2018
publimetro,2018-05-23,default,2,NA,2018
publimetro,2018-05-23,default,5,NA,2018
publimetro,2018-05-23,default,9,NA,2018
publimetro,2018-05-23,default,1,NA,2018
publimetro,2018-05-23,default,4,NA,2018
publimetro,2018-05-23,default,11,NA,2018
publimetro,2018-05-23,default,7,NA,2018
publimetro,2018-05-23,default,10,NA,2018
publimetro,2018-05-23,default,6,NA,2018
publimetro,2018-05-23,default,12,NA,2018
publimetro,2018-05-29,default,10,NA,2018
publimetro,2018-05-29,default,12,NA,2018
publimetro,2018-05-29,default,3,NA,2018
publimetro,2018-05-29,default,2,NA,2018
publimetro,2018-05-29,default,14,NA,2018
publimetro,2018-05-29,default,16,NA,2018
publimetro,2018-05-29,default,4,NA,2018
publimetro,2018-05-29,default,1,NA,2018
publimetro,2018-05-29,default,15,NA,2018
publimetro,2018-05-29,default,8,NA,2018
publimetro,2018-05-29,default,9,NA,2018
publimetro,2018-05-29,default,11,NA,2018
publimetro,2018-05-29,default,6,NA,2018
publimetro,2018-05-29,default,5,NA,2018
publimetro,2018-05-29,default,7,NA,2018
publimetro,2018-05-29,default,13,NA,2018
publimetro,2018-05-16,default,7,NA,2018
publimetro,2018-05-16,default,1,NA,2018
publimetro,2018-05-16,default,2,NA,2018
publimetro,2018-05-16,default,5,NA,2018
publimetro,2018-05-16,default,12,NA,2018
publimetro,2018-05-16,default,8,NA,2018
publimetro,2018-05-16,default,3,NA,2018
publimetro,2018-05-16,default,11,NA,2018
publimetro,2018-05-16,default,10,NA,2018
publimetro,2018-05-16,default,16,NA,2018
publimetro,2018-05-16,default,14,NA,2018
publimetro,2018-05-16,default,9,NA,2018
publimetro,2018-05-16,default,15,NA,2018
publimetro,2018-05-16,default,6,NA,2018
publimetro,2018-05-16,default,13,NA,2018
publimetro,2018-05-16,default,4,NA,2018
publimetro,2018-05-30,default,10,NA,2018
publimetro,2018-05-30,default,16,NA,2018
publimetro,2018-05-30,default,12,NA,2018
publimetro,2018-05-30,default,7,NA,2018
publimetro,2018-05-30,default,9,NA,2018
publimetro,2018-05-30,default,5,NA,2018
publimetro,2018-05-30,default,3,NA,2018
publimetro,2018-05-30,default,14,NA,2018
publimetro,2018-05-30,default,2,NA,2018
publimetro,2018-05-30,default,4,NA,2018
publimetro,2018-05-30,default,15,NA,2018
publimetro,2018-05-30,default,1,NA,2018
publimetro,2018-05-30,default,6,NA,2018
publimetro,2018-05-30,default,11,NA,2018
publimetro,2018-05-30,default,8,NA,2018
publimetro,2018-05-30,default,13,NA,2018
publimetro,2018-05-03,default,14,NA,2018
publimetro,2018-05-03,default,13,NA,2018
publimetro,2018-05-03,default,3,NA,2018
publimetro,2018-05-03,default,12,NA,2018
publimetro,2018-05-03,default,7,NA,2018
publimetro,2018-05-03,default,11,NA,2018
publimetro,2018-05-03,default,16,NA,2018
publimetro,2018-05-03,default,10,NA,2018
publimetro,2018-05-03,default,4,NA,2018
publimetro,2018-05-03,default,2,NA,2018
publimetro,2018-05-03,default,1,NA,2018
publimetro,2018-05-03,default,15,NA,2018
publimetro,2018-05-03,default,8,NA,2018
publimetro,2018-05-03,default,5,NA,2018
publimetro,2018-05-03,default,9,NA,2018
publimetro,2018-05-03,default,6,NA,2018
publimetro,2018-05-22,default,6,NA,2018
publimetro,2018-05-22,default,15,NA,2018
publimetro,2018-05-22,default,11,NA,2018
publimetro,2018-05-22,default,8,NA,2018
publimetro,2018-05-22,default,10,NA,2018
publimetro,2018-05-22,default,12,NA,2018
publimetro,2018-05-22,default,7,NA,2018
publimetro,2018-05-22,default,13,NA,2018
